"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2025年06月20日"

"","","","","/項目 コード","A1101","A161001","A6108","B1102","B1103","B1104","B1105","B1106","B1107","B1201","B120103","#A01202","#A03504","#A03505","#A03506","#B01301"
"調査年 コード","調査年","地域 コード","地域","/項目","A1101_総人口【人】","A161001_未婚者割合（15歳以上人口）【％】","A6108_昼夜間人口比率【％】","B1102_総面積（北方地域及び竹島を含む）【ｈａ】","B1103_可住地面積【ｈａ】","B1104_主要湖沼面積【ｈａ】","B1105_林野面積【ｈａ】","B1106_森林面積【ｈａ】","B1107_森林以外の草生地面積【ｈａ】","B1201_評価総地積（課税対象土地）【ｍ2】","B120103_評価総地積（宅地）【ｍ2】","#A01202_可住地面積１km2当たり人口密度【人】","#A03504_15歳未満人口割合【％】","#A03505_15～64歳人口割合【％】","#A03506_65歳以上人口割合【％】","#B01301_可住地面積割合【％】"
"2023100000","2023年度","01100","北海道 札幌市","","***","***","***","112,126","43,879","0","***","***","***","***","***","***","***","***","***","39.1"
"2023100000","2023年度","01101","北海道 札幌市 中央区","","***","***","***","4,642","2,603","0","***","***","***","***","***","***","***","***","***","56.1"
"2023100000","2023年度","01102","北海道 札幌市 北区","","***","***","***","6,357","6,319","0","***","***","***","***","***","***","***","***","***","99.4"
"2023100000","2023年度","01103","北海道 札幌市 東区","","***","***","***","5,697","5,693","0","***","***","***","***","***","***","***","***","***","99.9"
"2023100000","2023年度","01104","北海道 札幌市 白石区","","***","***","***","3,447","3,441","0","***","***","***","***","***","***","***","***","***","99.8"
"2023100000","2023年度","01105","北海道 札幌市 豊平区","","***","***","***","4,623","2,784","0","***","***","***","***","***","***","***","***","***","60.2"
"2023100000","2023年度","01106","北海道 札幌市 南区","","***","***","***","65,748","11,287","0","***","***","***","***","***","***","***","***","***","17.2"
"2023100000","2023年度","01107","北海道 札幌市 西区","","***","***","***","7,510","3,023","0","***","***","***","***","***","***","***","***","***","40.3"
"2023100000","2023年度","01108","北海道 札幌市 厚別区","","***","***","***","2,438","2,281","0","***","***","***","***","***","***","***","***","***","93.6"
"2023100000","2023年度","01109","北海道 札幌市 手稲区","","***","***","***","5,677","3,502","0","***","***","***","***","***","***","***","***","***","61.7"
"2023100000","2023年度","01110","北海道 札幌市 清田区","","***","***","***","5,987","2,946","0","***","***","***","***","***","***","***","***","***","49.2"
"2023100000","2023年度","04100","宮城県 仙台市","","***","***","***","78,635","34,681","0","***","***","***","***","***","***","***","***","***","44.1"
"2023100000","2023年度","04101","宮城県 仙台市 青葉区","","***","***","***","30,224","9,754","0","***","***","***","***","***","***","***","***","***","32.3"
"2023100000","2023年度","04102","宮城県 仙台市 宮城野区","","***","***","***","5,825","5,455","0","***","***","***","***","***","***","***","***","***","93.6"
"2023100000","2023年度","04103","宮城県 仙台市 若林区","","***","***","***","5,086","4,876","0","***","***","***","***","***","***","***","***","***","95.9"
"2023100000","2023年度","04104","宮城県 仙台市 太白区","","***","***","***","22,839","7,229","0","***","***","***","***","***","***","***","***","***","31.7"
"2023100000","2023年度","04105","宮城県 仙台市 泉区","","***","***","***","14,661","7,367","0","***","***","***","***","***","***","***","***","***","50.2"
"2023100000","2023年度","11100","埼玉県 さいたま市","","***","***","***","21,743","21,458","0","***","***","***","***","***","***","***","***","***","98.7"
"2023100000","2023年度","11101","埼玉県 さいたま市 西区","","***","***","***","2,912","2,879","0","***","***","***","***","***","***","***","***","***","98.9"
"2023100000","2023年度","11102","埼玉県 さいたま市 北区","","***","***","***","1,686","1,685","0","***","***","***","***","***","***","***","***","***","99.9"
"2023100000","2023年度","11103","埼玉県 さいたま市 大宮区","","***","***","***","1,280","1,278","0","***","***","***","***","***","***","***","***","***","99.8"
"2023100000","2023年度","11104","埼玉県 さいたま市 見沼区","","***","***","***","3,069","3,025","0","***","***","***","***","***","***","***","***","***","98.6"
"2023100000","2023年度","11105","埼玉県 さいたま市 中央区","","***","***","***","839","839","0","***","***","***","***","***","***","***","***","***","100.0"
"2023100000","2023年度","11106","埼玉県 さいたま市 桜区","","***","***","***","1,864","1,841","0","***","***","***","***","***","***","***","***","***","98.8"
"2023100000","2023年度","11107","埼玉県 さいたま市 浦和区","","***","***","***","1,151","1,147","0","***","***","***","***","***","***","***","***","***","99.7"
