"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2025年06月20日"

"","","","","/項目 コード","C620101","C620105","C620106","C620107","C620108","C620109","C620110","C620111","C620114","C620115","C620116","C620117","C620118","C620119","C620120","C620121","C620122"
"調査年 コード","調査年","地域 コード","地域","/項目","C620101_純付加価値額（民営）（農林漁業）【百万円】","C620105_純付加価値額（民営）（鉱業、採石業、砂利採取業）【百万円】","C620106_純付加価値額（民営）（建設業）【百万円】","C620107_純付加価値額（民営）（製造業）【百万円】","C620108_純付加価値額（民営）（電気・ガス・熱供給・水道業）【百万円】","C620109_純付加価値額（民営）（情報通信業）【百万円】","C620110_純付加価値額（民営）（運輸業、郵便業）【百万円】","C620111_純付加価値額（民営）（卸売業、小売業）【百万円】","C620114_純付加価値額（民営）（金融業、保険業）【百万円】","C620115_純付加価値額（民営）（不動産業、物品賃貸業）【百万円】","C620116_純付加価値額（民営）（学術研究、専門・技術サービス業）【百万円】","C620117_純付加価値額（民営）（宿泊業、飲食サービス業）【百万円】","C620118_純付加価値額（民営）（生活関連サービス業、娯楽業）【百万円】","C620119_純付加価値額（民営）（教育、学習支援業）【百万円】","C620120_純付加価値額（民営）（医療、福祉）【百万円】","C620121_純付加価値額（民営）（複合サービス事業）【百万円】","C620122_純付加価値額（民営）（サービス業（他に分類されないもの））【百万円】"
"2020100000","2020年度","01100","北海道 札幌市","","2,220","719","422,794","187,218","82,025","320,250","127,718","856,365","251,344","213,025","227,905","107,180","67,396","117,881","762,050","39,126","385,581"
"2020100000","2020年度","01101","北海道 札幌市 中央区","","772","X","125,804","35,833","X","254,855","1,722","301,941","195,921","110,528","115,234","45,373","21,852","22,088","255,974","9,802","233,536"
"2020100000","2020年度","01102","北海道 札幌市 北区","","20","X","57,273","8,730","X","28,241","11,625","78,691","10,518","16,188","26,818","11,441","6,123","42,770","93,497","4,178","53,065"
"2020100000","2020年度","01103","北海道 札幌市 東区","","99","X","71,509","48,140","X","7,012","19,221","128,766","6,784","19,841","35,023","9,187","7,201","8,820","86,099","7,524","21,956"
"2020100000","2020年度","01104","北海道 札幌市 白石区","","306","0","59,590","25,738","X","5,918","48,652","123,396","12,485","23,382","17,555","9,397","5,609","4,955","67,244","X","30,735"
"2020100000","2020年度","01105","北海道 札幌市 豊平区","","131","0","31,176","6,444","X","7,199","5,450","47,623","7,128","11,672","12,348","7,429","5,471","13,649","52,731","X","13,731"
"2020100000","2020年度","01106","北海道 札幌市 南区","","78","299","12,018","1,678","2,018","1,005","3,724","16,005","1,928","3,361","2,337","4,414","3,304","4,499","34,758","2,363","2,712"
"2020100000","2020年度","01107","北海道 札幌市 西区","","405","0","27,935","31,855","965","2,285","15,223","74,137","4,777","11,234","10,458","7,488","7,963","4,065","57,735","3,188","12,781"
"2020100000","2020年度","01108","北海道 札幌市 厚別区","","X","0","9,545","9,338","X","12,289","8,396","30,341","7,424","8,670","4,626","4,021","2,740","7,981","42,780","2,888","5,531"
