"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2025年06月20日"

"","","","","/項目 コード","D2201","D2209","D320101","D320102","D320108","D320113","D320121","D3203","D320301","D320302","D320303","D3203031","D3203032","D3203033","D3203034","D3203035","D320304","D3203042","D3203043","D3203044","D320305","D3203051","D320306"
"調査年 コード","調査年","地域 コード","地域","/項目","D2201_財政力指数（市町村財政）【‐】","D2209_一般財源（市町村財政）【千円】","D320101_地方税（市町村財政）【千円】","D320102_地方譲与税（市町村財政）【千円】","D320108_地方交付税（市町村財政）【千円】","D320113_国庫支出金（市町村財政）【千円】","D320121_地方債（市町村財政）【千円】","D3203_歳出決算総額（市町村財政）【千円】","D320301_議会費（市町村財政）【千円】","D320302_総務費（市町村財政）【千円】","D320303_民生費（市町村財政）【千円】","D3203031_社会福祉費（市町村財政）【千円】","D3203032_老人福祉費（市町村財政）【千円】","D3203033_児童福祉費（市町村財政）【千円】","D3203034_生活保護費（市町村財政）【千円】","D3203035_災害救助費（市町村財政）【千円】","D320304_衛生費（市町村財政）【千円】","D3203042_保健衛生費（市町村財政）【千円】","D3203043_保健所費（市町村財政）【千円】","D3203044_清掃費（市町村財政）【千円】","D320305_労働費（市町村財政）【千円】","D3203051_失業対策費（市町村財政）【千円】","D320306_農林水産業費（市町村財政）【千円】"
"2021100000","2021年度","01100","北海道 札幌市","","0.72","478,168,803","334,595,895","5,463,147","131,607,393","420,192,265","99,774,000","1,281,258,738","1,768,110","62,089,501","506,761,351","155,156,940","64,440,499","152,964,878","134,197,493","1,541","109,229,430","83,537,455","3,735,889","21,681,312","1,014,422","0","756,296"
"2021100000","2021年度","01101","北海道 札幌市 中央区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","01102","北海道 札幌市 北区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","01103","北海道 札幌市 東区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","01104","北海道 札幌市 白石区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","01105","北海道 札幌市 豊平区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","01106","北海道 札幌市 南区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","01107","北海道 札幌市 西区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","01108","北海道 札幌市 厚別区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","01109","北海道 札幌市 手稲区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","01110","北海道 札幌市 清田区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","04100","宮城県 仙台市","","0.90","258,175,520","218,125,010","3,055,986","33,114,251","150,881,457","55,771,100","626,496,644","1,450,252","47,321,836","207,526,989","54,369,742","28,711,734","91,366,446","30,833,877","2,245,190","58,376,791","41,528,312","3,525,279","13,156,953","307,525","0","2,303,245"
"2021100000","2021年度","04101","宮城県 仙台市 青葉区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","04102","宮城県 仙台市 宮城野区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","04103","宮城県 仙台市 若林区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","04104","宮城県 仙台市 太白区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","04105","宮城県 仙台市 泉区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","11100","埼玉県 さいたま市","","0.97","295,541,844","273,786,943","2,979,680","15,557,415","160,964,707","56,144,507","640,991,108","1,575,748","60,768,710","232,542,280","55,996,113","31,356,837","108,273,884","36,913,386","2,060","64,128,639","44,144,150","1,602,816","18,314,329","173,805","0","1,681,224"
"2021100000","2021年度","11101","埼玉県 さいたま市 西区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","11102","埼玉県 さいたま市 北区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","11103","埼玉県 さいたま市 大宮区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","11104","埼玉県 さいたま市 見沼区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","11105","埼玉県 さいたま市 中央区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","11106","埼玉県 さいたま市 桜区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","11107","埼玉県 さいたま市 浦和区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","11108","埼玉県 さいたま市 南区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","11109","埼玉県 さいたま市 緑区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","11110","埼玉県 さいたま市 岩槻区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","12100","千葉県 千葉市","","0.91","228,924,632","199,876,558","2,663,136","24,103,717","126,598,114","47,541,379","507,597,663","1,202,971","45,031,281","188,960,857","46,872,640","24,147,079","79,772,465","38,167,225","1,448","53,951,997","35,957,605","1,584,804","16,293,945","228,144","0","1,576,143"
"2021100000","2021年度","12101","千葉県 千葉市 中央区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","12102","千葉県 千葉市 花見川区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","12103","千葉県 千葉市 稲毛区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","12104","千葉県 千葉市 若葉区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","12105","千葉県 千葉市 緑区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","12106","千葉県 千葉市 美浜区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","13101","東京都 千代田区","","-","21,071,676","20,725,904","311,466","0","6,199,613","0","63,455,924","527,045","10,380,838","22,131,940","4,355,605","3,884,077","12,305,474","1,586,602","182","7,196,524","3,983,928","403,317","2,789,910","111,952","0","0"
"2021100000","2021年度","13102","東京都 中央区","","-","34,035,696","33,512,659","392,848","0","22,322,139","11,115,300","129,262,005","600,620","19,770,372","37,332,437","6,489,502","4,563,198","23,194,794","3,084,893","50","10,655,567","5,631,469","1,061,993","3,923,773","178,456","0","92,968"
"2021100000","2021年度","13103","東京都 港区","","-","87,198,636","86,664,196","455,275","0","30,975,939","0","180,965,170","709,381","29,152,713","67,494,434","14,185,223","9,827,006","38,712,975","4,768,740","490","19,694,080","13,658,955","580,580","5,411,066","273,766","0","0"
"2021100000","2021年度","13104","東京都 新宿区","","-","51,137,606","50,506,471","507,890","0","46,658,006","786,000","166,672,922","708,454","20,077,507","89,174,052","21,283,362","10,752,668","33,770,110","23,315,560","52,352","22,448,979","13,068,939","1,657,404","7,569,401","1,025,582","0","0"
"2021100000","2021年度","13105","東京都 文京区","","-","36,873,346","36,512,105","286,238","0","25,804,773","1,263,200","125,897,297","635,123","20,387,072","53,303,316","10,009,318","6,649,090","31,557,480","5,087,238","190","14,796,908","10,938,972","160,049","3,594,838","251,475","0","0"
"2021100000","2021年度","13106","東京都 台東区","","-","24,359,320","23,895,046","344,209","0","31,175,233","1,342,400","114,411,332","628,452","15,979,977","60,659,034","12,325,653","8,682,883","19,070,433","20,579,889","176","12,430,965","6,789,619","1,353,656","4,227,495","159,070","0","0"
"2021100000","2021年度","13107","東京都 墨田区","","-","27,434,471","26,849,290","377,937","0","34,289,452","1,948,000","139,456,738","630,070","23,743,967","72,528,759","16,271,067","8,575,215","31,154,565","16,527,912","0","13,548,778","7,652,338","1,968,827","3,899,457","162,348","0","0"
"2021100000","2021年度","13108","東京都 江東区","","-","57,385,252","56,216,979","716,507","0","60,758,459","1,392,300","223,533,762","847,939","26,406,922","122,127,407","26,262,703","14,282,072","61,792,040","19,790,590","2","23,237,491","14,251,831","1,421,367","7,429,693","199,961","0","0"
"2021100000","2021年度","13109","東京都 品川区","","-","54,749,089","53,898,090","565,659","0","40,837,528","1,544,000","186,459,178","772,834","27,019,772","91,346,239","15,487,959","11,908,286","51,792,281","12,156,651","1,062","19,638,397","12,187,780","748,289","6,598,534","355,990","0","0"
"2021100000","2021年度","13110","東京都 目黒区","","-","48,086,023","47,593,157","387,119","0","25,271,763","0","122,181,630","661,834","16,444,667","58,711,104","12,588,623","7,913,510","31,798,039","6,410,932","0","13,429,330","7,456,090","1,090,287","4,810,497","200,776","0","6,756"
